,ENGLISH,TAMIL
2055,quarterback,குவாட்டர்பேக்
2056,question,கேள்வி
2057,quick,விரைவான
2058,quickly,விரைவில்
2059,quiet,அமைதியான
2060,quietly,அமைதியாக
2061,quit,விட்டுவிட
2062,quite,மிகவும்
2063,quote,மேற்கோள்
2064,race,இனம்
2065,racial,இன
2066,radical,தீவிரவாத
2067,radio,வானொலி
2068,rail,ரயில்
2069,rain,மழை
2070,raise,உயர்வு
2071,range,சரகம்
2072,rank,ரேங்க்
2073,rapid,விரைவான
2074,rapidly,விரைவில்
2075,rare,அரிய
2076,rarely,அரிதாக
2077,rate,விகிதம்
2078,rather,மாறாக
2079,rating,மதிப்பீடு
2080,ratio,விகிதம்
2081,raw,மூல
2082,reach,அடைய
2083,react,வினை
2084,reaction,எதிர்வினை
2085,read,படி
2086,reader,வாசகர்
2087,reading,வாசிப்பு
2088,ready,தயாராக
2089,real,உண்மையான
2090,reality,உண்மையில்
2091,realize,நினைத்துக்கூட பார்க்காத
2092,really,உண்மையில்
2093,reason,காரணம்
2094,reasonable,நியாயமான
2095,recall,நினைவுகூர்வது
2096,receive,பெறும்
2097,recent,அண்மையில்
2098,recently,சமீபத்தில்
2099,recipe,செய்முறையை
2100,recognition,அங்கீகாரம்
2101,recognize,அடையாளம் கண்டு கொள்
2102,recommend,பரிந்துரை
2103,recommendation,பரிந்துரை
2104,record,சாதனை
2105,recording,பதிவு
2106,recover,மீட்க
2107,recovery,மீட்பு
2108,recruit,பணியமர்த்த
2109,red,சிவப்பு
2110,reduce,குறைக்க
2111,refer,பார்க்கவும்
2112,reference,குறிப்பு
2113,reflect,பிரதிபலிக்கும்
2114,reflection,பிரதிபலிப்பு
2115,reform,சீர்திருத்தம்
2116,refugee,அகதி
2117,refuse,மறு
2118,regard,தொடர்பாக
2119,regarding,தொடர்பாக
2120,regardless,பொருட்படுத்தாமல்
2121,regime,ஆட்சி
2122,region,பிராந்தியம்
2123,regional,பிராந்திய
2124,register,பதிவு
2125,regular,வழக்கமான
2126,regularly,வழக்கமாக
2127,regulate,கட்டுப்படுத்தும்
2128,regulation,கட்டுப்பாட்டு
2129,reinforce,வலுப்படுத்தும்
2130,reject,நிராகரிக்க
2131,relate,தொடர்புபடுத்த
2132,relation,உறவு
2133,relationship,உறவு
2134,relative,உறவினர்
2135,relatively,ஒப்பீட்டளவில்
2136,relax,ஓய்வெடுக்க
2137,release,வெளியீடு
2138,relevant,தொடர்புடைய
2139,relief,துயர் நீக்கம்
2140,religious,மத
2141,rely,நம்ப
2142,remain,இருக்கும்
2143,remaining,மீதமுள்ள
2144,remarkable,குறிப்பிடத்தக்க
2145,remember,நினைவில்
2146,remind,ஞாபகப்படுத்த
2147,remote,தொலை
2148,repeat,மீண்டும்
2149,repeatedly,மீண்டும் மீண்டும்
2150,replace,பதிலாக
2151,reply,பதில்
2152,reporter,நிருபர்
2153,represent,பிரதிநிதித்துவம்
2154,representation,பிரதிநிதித்துவம்
2155,representative,பிரதிநிதி
2156,Republican,குடியரசுக்
2157,reputation,புகழ்
2158,request,கோரிக்கை
2159,require,தேவைப்படும்
2160,requirement,தேவை
2161,research,ஆராய்ச்சி
2162,researcher,ஆராய்ச்சியாளர்
2163,resemble,ஒத்திருக்கின்றன
2164,reservation,ஒதுக்கீடு
2165,resident,குடியுரிமை
2166,resist,எதிர்க்க
2167,resistance,எதிர்ப்பு
2168,resolution,தீர்மானம்
2169,resolve,தீர்மானத்தை
2170,resort,உல்லாசப்போக்கிடம்
2171,resource,வள
2172,respect,மதிக்க
2173,respond,பதிலை
2174,respondent,பதிலளிப்பாளரின்
2175,response,பதில்
2176,responsibility,பொறுப்பு
2177,responsible,பொறுப்பு
2178,rest,ஓய்வெடுக்க
2179,restaurant,உணவகம்
2180,restore,மீட்க
2181,restriction,கட்டுப்பாடு
2182,result,விளைவாக
2183,retain,தக்கவைத்து
2184,retire,ஓய்வு
2185,retirement,ஓய்வு
2186,return,திரும்ப
2187,reveal,வெளிப்படுத்த
2188,revenue,வருவாய்
2189,review,விமர்சனம்
2190,revolution,புரட்சி
2191,rhythm,ரிதம்
2192,rice,அரிசி
2193,rich,பணக்கார
2194,rid,தவிர்ந்திடு
2195,ride,சவாரி
2196,rifle,துப்பாக்கி
2197,right,வலது
2198,ring,மோதிரம்
2199,rise,உயரும்
2200,risk,ஆபத்து
2201,river,நதி
2202,road,சாலை
2203,rock,பாறை
2204,role,பங்கு
2205,roll,ரோல்
2206,romantic,காதல்
2207,roof,கூரை
2208,room,அறை
2209,root,ரூட்
2210,rope,கயிறு
2211,rose,உயர்ந்தது
2212,rough,கடினமான
2213,roughly,சுமார்
2214,round,சுற்று
2215,route,பாதை
2216,row,வரிசையில்
2217,rub,துடைப்பான்
2218,rule,ஆட்சி
2219,run,ஓடு
2220,running,ஓடுதல்
2221,rural,கிராமப்புற
2222,rush,அவசரத்தில்
2223,Russian,ரஷியன்
2224,sacred,புனித
2225,sad,வருத்தமாக
2226,safe,பாதுகாப்பான
2227,safety,பாதுகாப்பு
2228,sake,நிமித்தம்
2229,salad,கலவை
2230,salary,சம்பளம்
2231,sale,விற்பனை
2232,sales,விற்பனை
2233,salt,உப்பு
2234,same,அதே
2235,sample,மாதிரி
2236,sanction,அனுமதி
2237,sand,மணல்
2238,satellite,செயற்கைக்கோள்
2239,satisfaction,திருப்தி
2240,satisfy,திருப்தி
2241,sauce,சாஸ்
2242,save,சேமிக்க
2243,saving,சேமிப்பு
2244,say,சொல்
2245,scale,அளவில்
2246,scandal,ஊழல்
2247,scared,பயந்திருந்தாலோ
2248,scenario,சூழ்நிலையில்
2249,scene,காட்சி
2250,schedule,அட்டவணை
2251,scheme,திட்டம்
2252,scholar,அறிஞர்
2253,school,பள்ளி
2254,science,விஞ்ஞானம்
2255,scientific,அறிவியல்
2256,scientist,விஞ்ஞானி
2257,scope,வாய்ப்பு
2258,score,மதிப்பெண்
2259,scream,அலறல்
2260,screen,திரை
2261,script,கையால் எழுதப்பட்ட தாள்
2262,sea,கடல்
2263,search,தேட
2264,season,பருவம்
2265,seat,இருக்கை
2266,second,இரண்டாவது
2267,secret,இரகசிய
2268,secretary,செயலாளர்
2269,section,பிரிவில்
2270,sector,துறை
2271,secure,பாதுகாக்க
2272,security,பாதுகாப்பு
2273,see,பார்க்க
2274,seed,விதை
2275,seek,தேடுங்கள்
2276,seem,தெரியவில்லை
2277,segment,பிரிவில்
2278,seize,பறிமுதல்
2279,select,தேர்வு
2280,selection,தேர்வு
2281,self,சுய
2282,sell,விற்க
2283,Senate,செனட்
2284,senator,செனட்டர்
2285,send,அனுப்புக
2286,senior,மூத்த
2287,sense,உணர்வு
2288,sensitive,முக்கிய
2289,sentence,தண்டனை
2290,separate,தனி
2291,sequence,வரிசை
2292,series,தொடர்
2293,serious,தீவிர
2294,seriously,தீவிரமாக
2295,serve,பணியாற்ற
2296,service,சேவை
2297,session,அமர்வு
2298,set,தொகுப்பு
2299,setting,அமைப்பை
2300,settle,செட்டில்
2301,settlement,தீர்வு
2302,seven,ஏழு
2303,several,பல
2304,severe,கடுமையான
2305,sex,செக்ஸ்
2306,sexual,பாலியல்
2307,shade,நிழல்
2308,shadow,நிழல்
2309,shake,குலுக்கல்
2310,shall,பேசலாம்
2311,shape,வடிவம்
2312,share,பகிர்
2313,sharp,கூர்மையான
2314,she,அவள்
2315,sheet,தாள்
2316,shelf,அலமாரியில்
2317,shell,ஷெல்
2318,shelter,தங்குமிடம்
2319,shift,மாற்றம்
2320,shine,பிரகாசம்
2321,ship,கப்பல்
2322,shirt,சட்டை
2323,shit,மலம்
2324,shock,அதிர்ச்சி
2325,shoe,ஷூ
2326,shoot,படப்பிடிப்பு
2327,shooting,படப்பிடிப்பு
2328,shop,கடை
2329,shopping,கடையில் பொருட்கள் வாங்குதல்
2330,shore,கரையில்
2331,short,குறுகிய
2332,shortly,விரைவில்
2333,shot,ஷாட்
2334,should,வேண்டுமா
2335,shoulder,தோள்பட்டை
2336,shout,சத்தம்
2337,show,நிகழ்ச்சி
2338,shower,மழை
2339,shrug,மொத்தத்தில் அலட்சியமாக
2340,shut,நிறுத்தல்களுக்குப்
2341,sick,உடம்பு
2342,side,பக்க
2343,sigh,பெருமூச்சு
2344,sight,பார்வை
2345,sign,அடையாளம்
2346,signal,சிக்னல்
2347,significance,முக்கியத்துவம்
2348,significant,குறிப்பிடத்தக்க
2349,significantly,கணிசமாக
2350,silence,அமைதி
2351,silent,அமைதியாக
2352,silver,வெள்ளி
2353,similar,ஒத்த
2354,similarly,இதேபோல்
2355,simple,எளிய
2356,simply,வெறுமனே
2357,sin,பாவம்
2358,since,முதல்
2359,sing,பாட
2360,singer,பாடகர்
2361,single,ஒற்றை
2362,sink,தொட்டியின்
2363,sir,ஐயா
2364,sister,சகோதரி
2365,sit,உட்கார
2366,site,தளத்தில்
2367,situation,நிலைமை
2368,six,ஆறு
2369,size,அளவு
2370,ski,ஸ்கை
2371,skill,திறமை
2372,skin,தோல்
2373,sky,வானம்
2374,slave,அடிமை
2375,sleep,தூங்கு
2376,slice,துண்டு
2377,slide,ஸ்லைடு
2378,slight,லேசான
2379,slightly,சற்று
2380,slip,சீட்டு
2381,slow,மெதுவாக
2382,slowly,மெதுவாக
2383,small,சிறிய
2384,smart,புத்திசாலி
2385,smell,வாசனை
2386,smile,சிரிக்க
2387,smoke,புகை
2388,smooth,மென்மையான
2389,snap,நொடியில்
2390,snow,பனி
2391,so,அதனால்
2392,so-called,என்று அழைக்கப்படும்
2393,soccer,கால்பந்து
2394,social,சமூக
2395,society,சமூகம்
2396,soft,மென்மையான
2397,software,மென்பொருள்
2398,soil,மண்
2399,solar,சூரிய
2400,soldier,சிப்பாய்
2401,solid,திட
2402,solution,தீர்வு
2403,solve,தீர்க்க
2404,some,சில
2405,somebody,யாரோ
2406,somehow,எப்படியோ
2407,someone,யாரோ
2408,something,ஏதாவது
2409,sometimes,சில நேரங்களில்
2410,somewhat,சற்றே
2411,somewhere,எங்காவது
2412,son,மகன்
2413,song,பாடல்
2414,soon,விரைவில்
2415,sophisticated,அதிநவீன
2416,sorry,மன்னிக்கவும்
2417,sort,வகைபடுத்து
2418,sound,ஒலி
2419,soup,சூப்
2420,source,மூல
2421,south,தெற்கு
2422,southern,தெற்கு
2423,Soviet,சோவியத்
2424,space,விண்வெளி
2425,Spanish,ஸ்பானிஷ்
2426,speak,பேசு
2427,special,சிறப்பு
2428,specialist,சிறப்பு
2429,species,இனங்கள்
2430,specific,குறிப்பிட்ட
2431,specifically,குறிப்பாக
2432,speech,பேச்சு
2433,speed,வேகம்
2434,spend,செலவிட
2435,spending,செலவு
2436,spin,ஸ்பின்
2437,spirit,ஆவி
2438,spiritual,ஆன்மீக
2439,split,பிளவு
2440,spokesman,பேச்சாளர்
2441,sport,விளையாட்டு
2442,spot,ஸ்பாட்
2443,spread,பரவுதல்
2444,spring,வசந்த
2445,square,சதுர
2446,squeeze,நெருக்கு
2447,stability,ஸ்திரத்தன்மை
2448,stable,நிலையான
2449,staff,ஊழியர்கள்
2450,stage,மேடை
2451,stair,படிக்கட்டு
2452,stake,பங்குகளை
2453,stand,நிற்க
2454,standard,தரநிலை
2455,standing,நின்று
2456,star,நட்சத்திரம்
2457,stare,முறைத்தல்
2458,start,தொடக்கத்தில்
2459,state,நிலை
2460,statement,அறிக்கை
2461,station,நிலையம்
2462,statistics,புள்ளிவிவரங்கள்
2463,status,நிலையை
2464,stay,தங்க
2465,steady,நிலையான
2466,steal,திருட
2467,steel,எஃகு
2468,step,படி
2469,stick,குச்சி
2470,still,இன்னும்
2471,stir,பரபரப்பை
2472,stock,பங்கு
2473,stomach,வயிறு
2474,stone,கல்
2475,stop,நிறுத்தத்தில்
2476,storage,சேமிப்பு
2477,store,கடை
2478,storm,புயல்
2479,story,கதை
2480,straight,நேராக
2481,strange,விசித்திரமான
2482,stranger,அந்நியன்
2483,strategic,மூலோபாய
2484,strategy,மூலோபாயம்
2485,stream,ஸ்ட்ரீம்
2486,street,தெரு
2487,strength,வலிமை
2488,strengthen,வலுப்படுத்த
2489,stress,மன அழுத்தம்
2490,stretch,நீட்டிக்க
2491,strike,வேலைநிறுத்தம்
2492,string,லேசான கயிறு
2493,strip,ஆடை அவிழ்ப்பு
2494,stroke,பக்கவாதம்
2495,strong,வலுவான
2496,strongly,கடுமையாக
2497,structure,அமைப்பு
2498,struggle,போராட்டம்
2499,student,மாணவர்
2500,studio,ஸ்டூடியோ
2501,study,ஆய்வு
2502,stuff,பொருட்களை
2503,stupid,முட்டாள்
2504,style,பாணி
2505,subject,பொருள்
2506,submit,சமர்ப்பிக்க
2507,subsequent,அடுத்தடுத்த
2508,substance,பொருள்
2509,substantial,கணிசமான
2510,succeed,வெற்றி
2511,success,வெற்றி
2512,successful,வெற்றிகரமான
2513,successfully,வெற்றிகரமாக
2514,sudden,திடீர்
2515,suddenly,திடீரென்று
2516,sue,சூ
2517,suffer,பாதிப்பு
2518,sufficient,போதுமான
2519,sugar,சர்க்கரை
2520,suggest,பரிந்துரை
2521,suggestion,பரிந்துரை
2522,suicide,தற்கொலை
2523,suit,வழக்கு
2524,summer,கோடை
2525,summit,உச்சிமாநாடு
2526,sun,சூரியன்
2527,super,அருமை
2528,supply,விநியோகி
2529,supporter,ஆதரவாளர்
2530,suppose,நினைக்கிறேன்
2531,supposed,வேண்டும்
2532,Supreme,உச்ச
2533,sure,நிச்சயம்
2534,surely,நிச்சயமாக
2535,surface,மேற்பரப்பில்
2536,surgery,அறுவை சிகிச்சை
2537,surprise,ஆச்சரியம்
2538,surprised,வியப்பு
2539,surprising,ஆச்சரியம்
2540,surprisingly,வியக்கத்தக்க
2541,surround,சரவுண்ட்
2542,survey,கணக்கெடுப்பு
2543,survival,உயிர்
2544,survive,வாழ
2545,survivor,உயிர் பிழைத்தவர்
2546,suspect,சந்தேக
2547,sustain,தக்க
2548,swear,சத்தியம்
2549,sweep,ஸ்வீப்
2550,sweet,இனிப்பு
2551,swim,நீந்து
2552,swing,ஊஞ்சலில்
2553,switch,சொடுக்கி
2554,symbol,சின்னமாக
2555,symptom,அறிகுறி
2556,system,அமைப்பு
2557,table,மேசை
2558,tablespoon,தேக்கரண்டி
2559,tactic,உத்தி
2560,tail,வால்
2561,take,எடுத்து
2562,tale,கதை
2563,talent,திறமை
2564,talk,பேச்சு
2565,tall,உயரமான
2566,tank,தொட்டி
2567,tap,குழாய்
2568,tape,நாடா
2569,target,இலக்கு
2570,task,பணி
2571,taste,சுவை
2572,tax,வரி
2573,taxpayer,வரிசெலுத்துவோர்
2574,tea,தேநீர்
2575,teach,பழக்கினார்
2576,teacher,ஆசிரியர்
2577,teaching,கற்பித்தல்
2578,team,அணி
2579,tear,கண்ணீர்
2580,teaspoon,தேக்கரண்டி
2581,technical,தொழில்நுட்ப
2582,technique,நுட்பம்
2583,technology,தொழில்நுட்பம்
2584,teen,டீன்
2585,teenager,இளம்பெண்
2586,telephone,தொலைபேசி
2587,telescope,தொலைநோக்கி
2588,tell,சொல்ல
2589,temperature,வெப்ப நிலை
2590,temporary,தற்காலிக
2591,ten,பத்து
2592,tend,முனைகின்றன
2593,tendency,போக்கு
2594,tennis,டென்னிஸ்
2595,tension,பதற்றம்
2596,tent,கூடாரம்
2597,term,கால
2598,terms,விதிமுறை
2599,terrible,பயங்கரமான
2600,territory,பிரதேசத்தில்
2601,terror,பயங்கரவாத
2602,terrorism,பயங்கரவாதம்
2603,terrorist,பயங்கரவாத
2604,test,சோதனை
2605,testify,சாட்சி
2606,testimony,சாட்சியம்
2607,testing,சோதனை
2608,than,விட
2609,thank,நன்றி
2610,thanks,நன்றி
2611,that,அந்த
2612,the,தி
2613,theater,திரையரங்கம்
2614,their,அவர்களது
2615,them,அவர்களுக்கு
2616,theme,தீம்
2617,themselves,தங்களை
2618,then,பிறகு
2619,theory,கோட்பாடு
2620,therapy,சிகிச்சை
2621,there,அங்கு
2622,therefore,எனவே
2623,these,இந்த
2624,they,அவர்கள்
2625,thick,தடித்த
2626,thin,மெல்லிய
2627,thing,விஷயம்
2628,think,நினைக்கிறேன்
2629,thinking,சிந்தனை
2630,third,மூன்றாவது
2631,thirty,முப்பது
2632,this,இந்த
2633,those,அந்த
2634,though,என்றாலும்
2635,thought,சிந்தனை
2636,thousand,ஆயிரம்
2637,threat,அச்சுறுத்தல்
2638,threaten,அச்சுறுத்தும்
2639,three,மூன்று
2640,throat,தொண்டை
2641,through,மூலம்
2642,throughout,முழுவதும்
2643,throw,வீசு
2644,thus,இதனால்
2645,ticket,டிக்கெட்
2646,tie,கட்டு
2647,tight,இறுக்கம்
2648,time,நேரம்
2649,tiny,சிறிய
2650,tip,முனை
2651,tire,சக்கரம்
2652,tired,சோர்வாக
2653,tissue,திசு
2654,title,தலைப்பு
2655,to,க்கு
2656,tobacco,புகையிலை
2657,today,இன்று
2658,toe,கால்
2659,together,ஒன்றாக
2660,tomato,தக்காளி
2661,tomorrow,நாளை
2662,tone,தொனி
2663,tongue,நாக்கு
2664,tonight,இன்றிரவு
2665,too,கூட
2666,tool,கருவி
2667,tooth,பல்
2668,top,மேல்
2669,topic,தலைப்பு
2670,toss,டாஸில்
2671,total,மொத்தம்
2672,totally,முற்றிலும்
2673,touch,தொடுதல்
2674,tough,கடுமையான
2675,tour,சுற்றுப்பயணம்
2676,tourist,சுற்றுலா
2677,tournament,போட்டியில்
2678,toward,நோக்கி
2679,towards,நோக்கி
2680,tower,கோபுரம்
2681,town,நகரம்
2682,toy,பொம்மை
2683,trace,சுவடு
2684,track,கண்காணிக்க
2685,trade,வர்த்தக
2686,tradition,பாரம்பரியம்
2687,traditional,பாரம்பரிய
2688,traffic,போக்குவரத்து
2689,tragedy,சோகம்
2690,trail,பாதை
2691,train,தொடர்வண்டி
2692,training,பயிற்சி
2693,transfer,பரிமாற்ற
2694,transform,மாற்றும்
2695,transformation,மாற்றம்
2696,transition,மாற்றம்
2697,translate,மொழிபெயர்
2698,transportation,போக்குவரத்து
2699,travel,பயணம்
2700,treat,உபசரிப்பு
2701,treatment,சிகிச்சை
2702,treaty,ஒப்பந்தம்
2703,tree,மரம்
2704,tremendous,மிகப்பெரிய
2705,trend,போக்கு
2706,trial,விசாரணை
2707,tribe,பழங்குடி
2708,trick,தந்திரம்
2709,trip,பயணம்
2710,troop,படை
2711,trouble,பிரச்சனையில்
2712,truck,டிரக்
2713,TRUE,உண்மை
2714,truly,உண்மையிலேயே
2715,trust,நம்பிக்கை
2716,truth,உண்மை
2717,try,முயற்சி
2718,tube,குழாய்
2719,tunnel,சுரங்கப்பாதை
2720,turn,திரும்ப
2721,TV,டிவி
2722,twelve,பன்னிரண்டு
2723,twenty,இருபது
2724,twice,இருமுறை
2725,twin,இரட்டை
2726,two,இரண்டு
2727,type,வகை
2728,typical,வழக்கமான
2729,typically,பொதுவாக
2730,ugly,அசிங்கமான
2731,ultimate,இறுதி
2732,ultimately,இறுதியில்
2733,unable,முடியவில்லை
2734,uncle,மாமா
2735,under,கீழ்
2736,undergo,மேற்கொள்ளவும்
2737,understand,புரிந்து
2738,understanding,புரிதல்
2739,unfortunately,எதிர்பாராதவிதமாக
2740,uniform,சீருடை
2741,union,தொழிற்சங்க
2742,unit,அலகு
2743,United,ஐக்கிய
2744,universal,உலகளாவிய
2745,universe,பிரபஞ்சம்
2746,university,பல்கலைக்கழக
2747,unknown,தெரியாத
2748,unless,வரை
2749,unlike,போலல்லாமல்
2750,unlikely,சாத்தியம்
2751,until,வரை
2752,unusual,அசாதாரண
2753,up,வரை
2754,upon,மீது
2755,upper,மேல்
2756,urban,நகர்ப்புற
2757,urge,உணர்ச்சியின்
2758,us,எங்களுக்கு
2759,use,பயன்படுத்த
2760,used,பயன்படுத்தப்படும்
2761,useful,பயனுள்ள
2762,user,பயனர்
2763,usual,வழக்கமான
2764,utility,பயன்பாடு
2765,vacation,விடுமுறைக்கு
2766,valley,பள்ளத்தாக்கு
2767,valuable,மதிப்புமிக்க
2768,value,மதிப்பு
2769,variable,மாறி
2770,variation,மாறுபாடு
2771,variety,பல்வேறு
2772,various,பல்வேறு
2773,vary,மாறுபடும்
2774,vast,பரந்த
2775,vegetable,காய்கறி
2776,vehicle,வாகன
2777,venture,துணிகர
2778,version,பதிப்பு
2779,versus,எதிராக
2780,very,மிகவும்
2781,vessel,கப்பல்
2782,veteran,முதுபெரும்
2783,via,வழியாக
2784,victim,பாதிக்கப்பட்ட
2785,victory,வெற்றி
2786,video,வீடியோ
2787,view,பார்வை
2788,viewer,பார்வையாளர்
2789,village,கிராமம்
2790,violate,மீறும்
2791,violation,மீறல்
2792,violence,வன்முறை
2793,violent,வன்முறை
2794,virtually,கிட்டத்தட்ட
2795,virtue,நல்லொழுக்கம்
2796,virus,வைரஸ்
2797,visible,புலப்படும்
2798,vision,பார்வை
2799,visit,விஜயம்
2800,visitor,பார்வையாளர்
2801,visual,காட்சி
2802,vital,முக்கிய
2803,voice,குரல்
2804,volume,தொகுதி
2805,volunteer,தன்னார்வ
2806,vote,வாக்கு
2807,voter,வாக்காளர்
2808,vs,எதிராக
2809,vulnerable,பாதிக்கப்படக்கூடிய
2810,wage,ஊதிய
2811,wait,காத்திரு
2812,wake,அடுத்து
2813,walk,நட
2814,wall,சுவர்
2815,want,வேண்டும்
2816,war,போர்
2817,warn,எச்சரிக்க
2818,warning,எச்சரிக்கை
2819,wash,கழுவுதல்
2820,waste,வீணடிக்க
2821,watch,வாட்ச்
2822,water,தண்ணீர்
2823,wave,அலை
2824,way,வழி
2825,we,நாங்கள்
2826,weak,பலவீனமான
2827,wealth,செல்வம்
2828,wealthy,பணக்கார
2829,weapon,ஆயுதம்
2830,wear,உடைகள்
2831,weather,வானிலை
2832,wedding,திருமண
2833,week,வாரம்
2834,weekend,வார
2835,weekly,வாராந்திர
2836,weigh,எடையை
2837,weight,எடை
2838,welcome,வரவேற்பு
2839,welfare,பொதுநல
2840,well,நன்கு
2841,west,மேற்கு
2842,western,மேற்கு
2843,wet,ஈரமான
2844,what,என்ன
2845,whatever,எதுவாக
2846,wheel,சக்கர
2847,when,எப்பொழுது
2848,where,எங்கே
2849,whereas,அதேசமயம்
2850,whether,என்பதை
2851,which,எந்த
2852,while,போது
2853,whisper,இரகசியம் பேசு
2854,white,வெள்ளை
2855,who,who
2856,whole,முழு
2857,whom,யாரை
2858,whose,யாருடைய
2859,why,ஏன்
2860,wide,பரந்த
2861,widely,பரவலாக
2862,widespread,பரவலாக
2863,wife,மனைவி
2864,wild,காட்டு
2865,will,விருப்பம்
2866,willing,தயாராக
2867,win,வெற்றி
2868,wind,காற்று
2869,window,ஜன்னல்
2870,wine,மது
2871,wing,சாரி
2872,winner,வெற்றி
2873,winter,குளிர்காலத்தில்
2874,wipe,துடைக்க
2875,wire,கம்பி
2876,wisdom,ஞானம்
2877,wise,பாண்டித்தியம்
2878,wish,விரும்பும்
2879,with,உடன்
2880,withdraw,திரும்ப
2881,within,உள்ள
2882,without,இல்லாமல்
2883,witness,சாட்சி
2884,wonder,அதிசயம்
2885,wonderful,அற்புதமான
2886,wood,மரம்
2887,wooden,மர
2888,word,சொல்
2889,work,வேலை
2890,worker,தொழிலாளி
2891,working,தொழிலாளர்
2892,works,படைப்புகள்
2893,workshop,பணிமனை
2894,world,உலகம்
2895,worried,கவலை
2896,worry,கவலை
2897,worth,மதிப்பு
2898,would,வேண்டுமே
2899,wound,காயம்
2900,wrap,மடக்கு
2901,write,எழுத
2902,writer,எழுத்தாளர்
2903,writing,எழுத்து
2904,wrong,தவறு
2905,yard,முற்றத்தில்
2906,year,ஆண்டு
2907,yellow,மஞ்சள்
2908,yes,ஆம்
2909,yesterday,நேற்று
2910,yet,இன்னும்
2911,yield,மகசூல்
2912,you,நீங்கள்
2913,young,இளம்
2914,your,உங்கள்
2915,yours,உன்னுடையது
2916,yourself,உங்களை
2917,youth,இளைஞர்கள்
2918,zone,மண்டலம்
2919,Supposedly,கூறப்படும்
2920,Purposefully,வேண்டுமென்றே
2921,Dilemma,தடுமாற்றமும்
2922,Skeptical,சந்தேகம்
2923,Contemplating,சிந்தனை
2924,termitarium,கறையான் புற்று
2925,English,ஆங்கிலம்
2926,part,பகுதியாக
2927,history,வரலாறு
2928,search,தேட
2929,only,மட்டுமே
2930,police,காவல்
2931,thought,சிந்தனை
2932,help,உதவி
2933,request,கோரிக்கை
2934,kind,கருணை
2935,month,மாதம்
2936,brother,சகோதரன்
2937,let,நாம்
2938,because,ஏனெனில்
2939,to put,வைக்க
2940,no,இல்லை
2941,leash,தோல்வார்
2942,them,அவர்களுக்கு
2943,city,நகரம்
2944,each,ஒவ்வொரு
2945,speak,பேசு
2946,come,வந்து
2947,should,வேண்டுமா
2948,baby,குழந்தை
2949,long time,நீண்ட நேரம்
2950,hours,மணி
2951,will,விருப்பம்
2952,while,போது
2953,meet again,சந்திக்க மீண்டும்
2954,any,எந்த
2955,square,சதுர
2956,speak,பேசு
2957,understood,புரிந்து
2958,knew,தெரியும்
2959,were,இருந்தன
2960,Warning,எச்சரிக்கை
2961,here is,இங்கே உள்ளது
2962,could,முடிந்த
2963,case,வழக்கு
2964,give,கொடுக்க
2965,type,வகை
2966,their,அவர்களது
2967,given,கொடுக்கப்பட்ட
2968,train,தொடர்வண்டி
2969,body,உடல்
2970,place,இடத்தில்
2971,eyes,கண்கள்
2972,way,வழி
2973,listen,கேட்க
2974,whose,யாருடைய
2975,find,கண்டுபிடிக்க
2976,first,முதல்
2977,lost,இழந்தது
2978,hand,கை
2979,first,முதல்
2980,side,பக்க
2981,power,சக்தி
2982,old,பழைய
2983,be,இரு
2984,here,இங்கே
2985,morning,காலை
2986,so much,மிகவும்
2987,child,குழந்தை
2988,point,புள்ளி
2989,came,வந்தது
2990,after,பிறகு
2991,sorry,மன்னிக்கவும்
2992,come,வந்து
2993,in front of,முன்
2994,towards,நோக்கி
2995,minutes,நிமிடங்கள்
2996,request,கோரிக்கை
2997,bedroom,படுக்கையறை
2998,placed,வைக்கப்படும்
2999,beautiful,அழகு
3000,law,சட்டம்
3001,would like to,விரும்புகிறேன்
3002,today,இன்று
3003,husband,கணவர்
3004,cause,காரணம்
3005,finally,இறுதியாக
3006,hope,நம்பிக்கை
3007,water,தண்ணீர்
3008,Wait,காத்திரு
3009,left,இடது
3010,new,புதிய
3011,job,வேலை
3012,Stop,நிறுத்து
3013,would say,கூறுவேன்
3014,Earth,பூமியின்
3015,account,கணக்கு
3016,given,கொடுக்கப்பட்ட
3017,far,இதுவரை
3018,end,இறுதியில்
3019,believe,நம்பிக்கை
3020,sweetheart,காதலி
3021,large,பெரிய
3022,rather,மாறாக
3023,will have,வேண்டும்
3024,girls,பெண்கள்
3025,to play,விளையாட
3026,office,அலுவலகம்
